I/O,Name,Unternehmen,Ort,Webseite,Twitter-Account,Kurzbeschreibung,Projekte,Kommentar,Type of actor,Area of experimentation,Forms of funding
O,1plusX,,Hamburg,https://www.1plusx.com/,@1plusX,Data Management & Predictive Analytics Platform (From data to predictions - Artificial intelligence for digital sales and marketing.),,Jürgen Galler,Startup,Technology,Misc. Capital
O,Adloop,,Köln,http://adloop.eu/,@ad_loop,Online-Marketing (We're workin' on a machine that boosts the performance of your eCommerce to fly at maximum altitude.),,,Startup,Technology,Venture Capital
O,AdSeen,,Paderborn,http://www.adseen.de/,@adseen_de,Affiliate Netzwerk,,Alexander Zerr,Startup,Technology,Venture Capital
O,Bohème,,München,http://boheme.io/,,"With Boheme App you can read latest issue of your favourite Magazines and Newspapers. and the best is you can read all of them for free if you are in any of our partner locations like Cafés, Restaurants, Hotels and a lot more.",,Medialab Bayern,Startup,"Technology, Business Model",Venture Capital
O,Camperstyle,Camper Style GbR,,https://de.camperstyle.net/,@CamperStyleDE,"Unsere Mission? Wir wollen Camping und Lifestyle verbinden, Camping-Einsteigern all die Tipps geben, die wir uns als Anfänger gewünscht hätten, euch unsere besten Camping-Hacks verraten und euch mit aktuellen Infos von Camping-Messen und anderen Events versorgen. Kurz: Euch eine Plattform bieten, auf der ihr alles Wissenswerte rund um die Themen Caravan und Camping kompakt aufbereitet findet!",,Medialab Bayern,Startup,"Content, Audience Relationship",Venture Capital
O,CeleraOne,,Berlin,http://www.celeraone.com/,@celeraone,"CeleraOne unterstützt Verlage. CeleraOne unterstützt Verlage bei der Entwicklung von Paid Content Angeboten, User Data Management (SSO) und Audience Development. ""Market leader for paywalls""",,Axel-Springer,Startup,Technology,Misc. Capital
O,Civey,,Berlin,https://civey.com/,@civey_de,"Erfahren Sie, was Deutschland denkt! Wir ermöglichen repräsentative Umfragen im Internet. Dabei sehen erstmals alle die Ergebnisse. Kostenlos und in Echtzeit.",,,Startup,"Technology, Content",Venture Capital
O,Cleverpush,,Hamburg,https://cleverpush.com/de/,@cleverpush_com,CleverPush ist ein Tool für die Implementierung von Push Benachrichtigungen in die eigene Webseite oder App. Mit Push Nachrichten binden Sie Nutzer an Ihre Webseite und steigern so Ihre Werbeumsätze.,,"Resul Mert Capa, Marius Gebhardt",Startup,Technology,Venture Capital
O,CommunicationAds,,Nürnberg,https://www.communicationads.net/,,Spezialisiertes Affiliate Netzwerk,,,Startup,Technology,Misc. Capital
O,Contentflow,,Berlin,https://contentflow.net,@contentflowlive,"The all-in-one live streaming platform. Contentflow allows media teams to distribute live content to increase reach, engagement and revenue.",,Next Media Accelerator,Startup,Technology,Venture Capital
O,Datawrapper,,Bad Honnef,https://www.datawrapper.de/,@datawrapper,"Enrich your stories with charts, in seconds.",,"Deutsche Welle, Gregor Aisch, Mirko Lorenz, won the 2013 edition of Startups for News",Startup,"Technology, Content",Misc. Capital
O,Datenfreunde,,"Hamburg, Berlin",https://datenfreunde.com,@datenfreunde,Wir sind spezialisiert auf Audio-Analysen und innovative Nachrichtendistribution. Unseren Kunden bieten wir qualitativ hochwertige Services für einen markengerechten Auftritt auf Smart Speakern und Voice Assistants.,,"Marco Maas, Martin Virtel",Startup,"Technology, Content","Grant, Misc. Capital"
O,Der Kontext,,München,https://www.derkontext.com/,@DerKontext,"Das interaktive Hintergrundmagazin! Eintauchen. Entdecken. Verstehen. / Bei „Der Kontext“ gehst du auf eine spannende Entdeckungsreise durch komplexe Themen. Spielerisch, umfassend, mit Tiefgang.",,"Julia Köberlein, Bernhard Scholz, Medialab Bayern",Startup,Content,Venture Capital
O,Digidip,,Berlin,https://www.digidip.net,@digidip_net,The world's largest premium content and performance analytics network,,,Startup,Technology,Misc. Capital
O,Edition F,Edition F GmbH,Berlin,https://editionf.com,@editionf_com,"Das digitale Zuhause für Frauen, die sich in Job und Leben verwirklichen wollen. Und ihre Freunde.",,Teresa Bücker,Startup,"Content, Audience Relationship",Misc. Capital
O,Electric Elephant Publishing,,Hamburg,https://www.electricelephantpublishing.de/,@JorisZierold,"Electric Elephant Publishing arbeitet in einer Medienwelt, in der Print und digitale Formate um Nutzerrealitäten herum gestaltet werden. Unsere Inhalte entstehen aus der Interaktion und Kommunikation mit Usern, Unternehmen und Daten. Diese Medienwelt ist unser Atelier und alle, die mit uns in Austausch treten, werden Teil unserer Reise in die Zukunft der Medien.",,"Joris Zierold, Simon Berg, Body Kitchen",Startup,Content,Venture Capital
O,FactFox,,München,https://www.factfox.io/,@factfoxDE,"Mit automatisierten Antworten soll die Arbeit für Social-Media-Redakteure vereinfacht werden. Das Tool ""FactFox"" schlägt dem Redakteur ""passgenau ermittelte Antwortmöglichkeiten auf Nutzerkommentare vor und ermöglicht so ein schnelleres Beantworten"", sagt Gründerin Miriam Mogge. Durch die automatische Erfassung neuer Fakten im Redaktionsalltag soll die Antwortdatenbank weiter wachsen. Erprobt wurde das Tool bereits von der Nachrichtenagentur dpa, jetzt soll die App weiter ergänzt und an Medienhäuser verkauft werden.",,"Medialab Bayern, Gründer: Miriam Mogge und Sami Boussaid",Startup,Technology,Venture Capital
O,FanMatics,,Hamburg,https://fanmatics.com,@fanmatics,Convert with Social Rewards. Boost your signups with FanMatics. Let your audience unlock digital rewards through social interaction. Never mess with reward logistics ever again.,,"Next Media Accelerator, Facebook Local News Accelerator",Startup,Technology,"Venture Capital, Misc. Capital"
O,Helloguide,,Hamburg,https://helloguide.ai,@helloguide_ai,Engage Your Mobile Audience. Upload your content and get a ready-to-use chatbot.,,Next Media Accelerator,Startup,"Technology, Content","Venture Capital, Misc. Capital"
O,Hostwriter,,Berlin,hostwriter.org,@Hostwriter,Award-winning network that helps journalists to easily collaborate across borders.,,"Sandra Zistl, Tabea Grzeszyk, Tamara Anthony",Startup,"Technology, Audience Relationship",Misc. Capital
O,hyScore,hyscore.io GmbH,,https://www.hyscore.io,@hyscoreio,"hyScore, a Berlin-based company founded in May 2017, is an independent, cross-industry provider of innovative Natural Language Processing (NLP) solutions combined with Machine Learning (ML). With the flexible hyScore solutions, texts, websites, audios and videos can be analyzed in real time. The technology can be individually trained and adapted to special requirements.",,,Startup,Technology,Misc. Capital
O,Kerngedanke,,München,https://kerngedanke.com/,@krngdnk,"Bring more content to audiences everywhere in the most authentic way. Serve your existing customers better while winning new audiences. We help you with staying on top of things and focusing on what really matters: your time, your content and your audience.",,"Medialab Bayern, Mustafa K. Isik",Startup,Technology,Venture Capital
O,Kr3m,,Karlsruhe,https://kr3m.com,@kr3mmedia,"kr3m ist im deutschsprachigen Raum der Marktführer für Playful Business. Wir beliefern fast alle Verlage und Medienhäuser in Deutschland und der Schweiz mit Casual Games, z. B. den Spiegel, den Stern, die ZEIT, BILD, die Cosmopolitan, das Handelsblatt, die Neue Züricher Zeitung u. v. m. Dabei nutzen wir die Strategien der Spiele-Industrie für crossmediale Kampagnen, Kundenbindung und Personalschulung.",Rewardo,,Startup,Technology,Misc. Capital
O,Labiotech.eu,,Berlin,https://labiotech.eu,@Labiotech_eu,"Labiotech.eu is the leading digital media covering the European Biotech industry. Over 150,000 monthly visitors use it to keep an eye on the business and innovations in biotechnology. Hope you'll enjoy reading our stories!",,"Philipp Hemme, Joachim Eeckhout",Startup,"Content, Business Model",Misc. Capital
O,LinkLift,,Berlin,http://www.linklift.de/,@Linklift_DE,Marktplatz für Online-Werbung,,Patrick Paulisch,Startup,Technology,
O,Lokalpioniere,,Bielefeld,https://www.lokalpioniere.de/,,"Lokalpioniere. Das ist der Systemgeber für Ihre City-App. Mithilfe unserer digitalen Infrastruktur bestehend aus App und Webseite bauen Sie sich lokal eine zentrale Marke als Smart City auf. Die Vorteile unseres System liegen klar in der Hand: Jeder Bürger findet alle lokalen Informationen auf seinem Smartphone in der Hosentasche. Lokalpioniere liefert Ihnen dazu ein digitales Geschäftsmodell, das sich auf dem Markt erfolgreich bewiesen hat. Durch unsere Unterstützung kann beim Start Ihrer City-App nichts mehr schief gehen. Worauf warten Sie noch? Informieren Sie sich umfangreich über die Vorteile und Möglichkeiten unseres Systems und starten Sie durch!",,,Startup,"Audience Relationship, Business Model, Technology",
O,Lokalportal,,Hamburg,https://lokalportal.de/,@Lokalportal_DE,"Lokalportal ist die digitale Plattform für das lokale Leben. Hier erfährst du auf einen Blick, was in deiner Nähe passiert.",,,Startup,"Business Model, Audience Relationship","Misc. Capital, Venture Capital"
O,Luminovo,,München,https://luminovo.ai/,@luminovo,Lösen Sie Ihre Probleme mit Hilfe von Deep Learning. Wir beschleunigen Ihre repetitiven Arbeitsprozesse auf Basis von Bild und Text. Dabei vereinen wir die Stärken von menschlicher und künstlicher Intelligenz.,,Medialab Bayern,Startup,Technology,Venture Capital
O,MedWatch,,Hamburg / Karlsruhe,https://medwatch.de,@medwatch_de,"Das Team von MedWatch scannt das Netz nach gefährlichen und unseriösen Heilungsversprechen. Einen Schwerpunkt bilden Recherchen aus der Grauzone des Netzes, in der vermeintliche Heiler ihre Wunder anbieten.",,"Nicola Kuhrt, Hinnerk Feldwisch, Vocer Netzwende Award",Startup,Content,Misc. Capital
O,Merkurist,,Mainz,https://merkurist.de,"@Merkurist_biz, @Merkurist_Mainz","Merkurist ist die Lösung für Lokalblogs und -Nachrichtenseiten, die ein cleveres digitales Netzwerk bilden.",,"Sarah Heil, Jonathan Schulz",Startup,"Content, Audience Relationship","Venture Capital, Misc. Capital"
O,MessengerPeople,,München,https://messengerpeople.com,@MessengerPeople,"MessengerPeople enables Marketing Automation, Customer Service and Chatbots via Instant Messenger like WhatsApp, Apple Business Chat and Facebook Messenger.",,"Hightech-Gründerfonds, WhatsBroadcast",Startup,"Technology, Audience Relationship","Venture Capital, Misc. Capital"
O,Moviepilot,,Berlin,https://www.moviepilot.de/,@moviepilot,Film-Portal und -Ratgeber,,Tobias Bauckhage,Startup,Content,
O,Multicast Media,Multicast Media GmbH,Potsdam,https://www.multicast-media.com/,,Award-winning speech to text audio processing.,,,Startup,Content,
O,Narando,,Löhne,https://www.narando.com/,@narandoapp,Plattform zum Abspielen von digitalen Medien,,,Startup,Technology,
O,Nebenan.de,Good Hood GmbH,Berlin,https://nebenan.de,@nebenan_DE,"Das Netzwerk für echte Gemeinschaft. [...] Seit der Gründung von nebenan.de im Jahr 2015 ist nebenan.de kontinuierlich gewachsen, verzeichnet 2019 über 1,2 Mio. Nutzer und beschäftigt derzeit rund 70 Mitarbeiter. Die Nachbarschafsplattform nebenan.de wird von der Good Hood GmbH mit Sitz in Berlin betrieben. nebenan.de wurde 2015 gegründet, um der zunehmenden Anonymität in der Gesellschaft entgegenzuwirken und Nachbarn auf digitalem Weg zu mehr echter lokaler Gemeinschaft zu verhelfen.",,"Series A Startup, 3 Finanzierungsrunden, 21M+ Finanzierungssumme von Risikokapitalgebern, Angel-Investoren (siehe Crunchbase",Startup,"Business Model, Funding, Audience Relationship","Public funding, Crowdfunding, Venture Capital, Grant"
O,Neeeu,,Berlin,https://neeeu.io/,@neeeu_io,Neeeu is an independent design & innovation studio. We specialise in the creation of unique spatial experiences. Join us where digital & physical realities meet,,,Startup,Content,Misc. Capital
O,Neue Narrative,,Berlin,https://neuenarrative.de/,@neuenarrative,"Neue Narrative ist das Magazin für Neues Arbeiten. Es ist geboren in den Herzen einiger Menschen von TheDive, die gemeinsam im Bereich neuer Formen der Wirtschaft arbeiten. In dem Magazin erzählen wir Geschichten aus einer neuen Arbeitswelt, die zum Weiterdenken, Anpacken und Nachmachen einladen. Das machen wir, weil unsere Sehnsucht nach einem guten Heute und einem besseren Morgen einen Platz braucht. Das Wir steht nicht umsonst in Wirtschaft. ",,,Startup,Content,Crowdfunding (zweite Ausgabe)
O,Newscase,,Berlin,https://newscase.com,,News Case provides quality information related to the upcoming gadgets and also technology news. The website covers all the latest tech product reviews and the news about it. You can find information about everything that has happened in the tech fests commenced in any part of the world on this website. News Case provides its users with new updates on technology on a daily basis. It is a perfect place to read the reviews and features about the upcoming products and technologies. There are several guides put up on the website for various gadgets. ,,"Vorher: Personalisierte Nachrichten-App Niiu, Wanja Sören Oberhof (Co-Founder), Hubertus Hoffmann",Startup,Technology,
O,Nuzzera,Nuzzera GmbH,Berlin,https://www.nuzzera.de/,@nuzzera,"Nuzzera ist eine zentrale Nachrichtenplattform, die freien Journalisten die Möglichkeit bietet Artikel direkt und unabhängig zu veröffentlichen. Gleichzeitig aggregieren wir Inhalte von etablierten Nachrichtenhäusern und lokalen Zeitungen. Die Vielfalt, die daraus entsteht, personalisiert Nuzzera mit Hilfe von Machine Learning und bringt so die Artikel zum passenden Leser. Dabei streben wir eine Entwicklung in Kopperation mit Journalisten an, um unseren Algorithmus nicht auf reine Click-Bait-Optimierung, sondern auf ausgeglichenes Leseverhalten und Meinungsvielfalt zu trainieren.",,"DB Mindbox, Google DNI, EU Europäischer Sozialfonds",Startup,"Business Model, Audience Relationship",Venture Capital
O,Opinary,,Berlin,https://opinary.com/,@opinary,Opinary is a Berlin-based startup that established a new way for users to share their opinion in online content. Our technology helps 84 million monthly users to share their view with a tap and understand opinion trends at a glance.,,"Cornelius Frey, Max Meran, Pia Frey",Startup,"Technology, Business Model",
O,Pay with a Tweet,Aklamio,"Hamburg, Berlin",https://www.paywithatweet.com,@paywithatweet,"Viralmarketing-Tool: Das Tool für effektives Empfehlungsmarketing PayWithATweet ist deine Social PayWall. Biete Zugriff auf deine Inhalte,  Angebote und digitalen Waren für den Preis eines Posts oder Tweets.",,Hanse Ventures,Startup,"Technology, Business Model",
O,Picter,,Augsburg,https://www.picter.com,@picter_com,"Picter ist ein Access- und Asset-Management Tool für Fotografie und bildbasierte Medien. Es revolutioniert den Umgang mit Bildern und löst altbewährte FTP-Services wie Wetransfer und Dropbox ab. Picter schafft standardisierte Prozesse, eine einheitliche Infrastruktur zur Bild-Verwaltung und verbindet alle Marktteilnehmer des professionellen Fotografie-Marktes. Das Team mit Claudio Ricci, Simon Karlstetter, Leon Kirchlechner, Richard Stromer und Matthias Lohscheidt ist auch Team unseres Partner-Fellowships mit dem Red Bull Media House.",,"Medialab Bayern, Claudio Ricci",Startup,"Technology, Content",Venture Capital
O,piqd,,München,https://piqd.de,@piqd_de,"Deine Programmzeitung für das gute Netz: Kluge Köpfe filtern die besten Beiträge aus dem Netz. Entdecke handverlesene Artikel, Videos und Audios und teile deine eigenen Fundstücke mit uns.",,"Max Rosch (Vocer-Fellow, Google News Initiative), Schwingenstein-Stiftung, Frederik Fischer, Marcus von Jordan",Startup,"Content, Business Model",
O,Plantura,,München,https://www.plantura.garden/,@PlanturaGarden,"Plantura ist ein digitales Gartenmagazin, das mittels eines datengetriebenen Tech-Frameworks Trend-Themen identifiziert. Dieses Vorgehen resultiert in einer hohen und sehr spezifischen Reichweite innerhalb der Zielgruppe, welche durch sinnstiftende und mehrwertgenerierende Produktplatzierungen monetarisiert wird.",,Medialab Bayern,Startup,"Content, Business Model",Venture Capital
O,Plenigo,,München,https://www.plenigo.com,@plenigo,"Die plenigo GmbH ist ein Technologie-Startup mit Sitz in München. Als erstes und einziges deutsches Unternehmen bietet plenigo Medienhäusern, Verlagen und anderen eine umfassende E-Commerce Plattform, perfekt zugeschnitten auf den Vertrieb digitaler Inhalte. Damit ermöglicht plenigo die flexible Realisierung von Bezahlschranken für Audioinhalte, Texte, Videos und Downloads.",,,Startup,Technology,
O,Plista,,Berlin,https://www.plista.com/de/,@plista,Content- und Werbe-Plattform,,"Dominik Matyka, Christian Laase, Michel Gagnon",Startup,Technology,
O,Prenzlauer Berg Nachrichten,,Berlin,prenzlauerberg-nachrichten.de,@prenzlette,"Lokalzeitung für Berlin-Prenzlauer Berg (Wir sind eine Team von jungen Journalistinnen und Journalisten und wollen zusammen mit unseren Leser/innen eine unabhängige, unterhaltsame und streitbare Online-Zeitung für unseren Kiez machen)",,,Startup,Content,
O,PressMatrix,,Berlin,https://pressmatrix.de,@pressmatrix,Mit Digital Publishing Menschen und Geschichten verbinden.,,Hightech-Gründerfonds,Startup,Content,Venture Capital
O,ShareMagazines,,Hamburg,https://sharemagazines.de/,@sharemagazines,"Unzufrieden mit Ihren zerlesenen, veralteten oder geklauten Zeitschriften? Unsere App bietet Ihren Kunden über 400 digitale Tageszeitungen und Magazine aus aller Welt! Immer aktuell! Immer sortiert! Nie vergriffen!",,"Jan van Ahrens, Oliver Krause",Startup,"Business Model, Technology",
O,SoundTicker,,"München, Kirchseeon",https://soundticker.com/,SoundtickerDE,Deine Musik. Deine Nachrichten. Dein persönlicher Mix! Jederzeit in einer App. - Hör nur was Du willst!,,Medialab Bayern,Startup,"Technology, Business Model",Venture Capital
O,SourceFabric,,Berlin,https://www.sourcefabric.org/,@sourcefabric,Open Source Tools for Journalism,,"Sava Tatic, Newscoop, Airtime, Superdesk, Booktype",Startup,"Technology, Funding",
O,Spaactor,Spaactor GmbH,Bremen,https://www.spaactor.com,@spaactor,"Suchmaschine für Gesprochenes. Spaactor beschäftigt sich als Internet Suchmaschine mit öffentlich verfügbaren gesprochenen Inhalten aus Mediatheken, Youtube, Podcasts, Radio und Fernsehen. Somit ist Spaactor eine übergreifende Video Suchmaschine, eine Podcast Suchmaschine und eine Mediatheken Suchmaschine.",,,Startup,Technology,
O,Spectrm,Spectrm Publishing,Berlin,"https://spectrm.io, https://newsinitiative.withgoogle.com/dnifund/dni-projects/spectrmpublishing/",@Spectrm_,Spectrm is a conversational AI platform that enables brands to have 1:1 conversations on messaging apps.,,Google Digital News Innovation Fund,Startup,"Technology, Audience Relationship",Grant
O,Storymachine,,Berlin,https://storymachine.com,@jessenphil,"Wenn sich zwei bunte Hunde der Medienszene mit einem weithin bekannten Eventmanager für ein Startup zusammentun, ist ihnen die Aufmerksamkeit der Branche gewiss. Doch auch eineinhalb Jahre nachdem Ex-Bild-""Babo"" Kai Diekmann, der frühere stern.de-Chef Philipp Jessen und PR-Profi Michael Mronz ihre Agentur gründeten, ist über Storymachine nur wenig bekannt. Über Kunden spricht man nicht, lautet die Devise. CEO Philipp Jessen nennt gegenüber MEEDIA die Gründe für diese ungewöhnliche Firmenpolitik und sein größtes Problem: die richtigen Mitarbeiter zu finden.",,"Kai Diekmann, Michael Mronz, Philipp Jessen",Startup,Business Model,
O,Straight,Tchakabum GmbH,Berlin,https://www.straight-universe.com,@straight,We are celebrating Female Queerness,,,Startup,Content,
O,tactile.news,,Lüneburg,"https://tactile.news, https://miz-babelsberg.de/tactile-news-cms",@FrauCsu,"Mit tactile.news entwickeln wir eine innovative Audio-Nachrichtenplattform für Kinder zwischen vier und zwölf Jahren. Wir wollen journalistischen Inhalten den Weg zurück ins Kinderzimmer ebnen – mithilfe von vernetzten Spielfiguren. Denn digitaler Kinder-Content gehört auf Kindergeräte, finden wir. Wir wollen digitales Erzählen, ohne das Risiko des Abhörens oder Ausspionierens, ermöglichen.",,"MIZ-Innovationsförderung, Journalisten: Astrid Csuraji und Jakob Vicari, Entwickler: Robert Schäfer und Till Prochaska",Startup,"Technology, Content",Grant
O,Tame,,Berlin,tame.it,@FrederikFischer,Das Google für Twitter: Jede Sekunde etwas Neues. Das ist Twitter. Die wichtigsten Tweets gebündelt zu Geschichten. Das ist Tame.,,"Frederik Fischer (Geschäftsführer). Früher tazaldoo, unterstützt von Investitionsbank Berlin und das Bundesministerium für Wirtschaft und Technologie mit einem Gründerstipendium. Ist insolvent.",Startup,Technology,Misc. Capital
O,Textunes,,Berlin,http://textunes.de,@textunesberlin,Textunes is the leading multi-device publishing Platform for publishers’ content on Smartphones and Tablet PCs.,,Thalia Buchhandlungen,Startup,"Technology, Business Model",
O,The Shotcaller,Shotcaller Media UG,Berlin,https://theshotcaller.net,@TheShotcallerGG,"The Shotcaller combines high standards of traditional journalism with a huge passion for esports. As one main part of this mission, The Shotcaller goes beyond headlines and feeds them with real context to make esports more tangible for everybody. On the long path to nurture esports culture, The Shotcaller gives a voice to everybody, who is willing to partake in the public exchange of opinions surrounding esports",,,Startup,Content,
O,Tincon,,Berlin,https://tincon.org/,@tincon,"Guten Tag, wir sind die TINCON. Wir veranstalten Events mit und für Menschen zwischen 13 und 21. Es geht um Kultur, Technik, Games, Bildung, Science, YouTube, Code, Musik, Lifestyle, Politik und Gesellschaft. Also um alles. Aber vor allem um euch.",,,Startup,Content,
O,Traffective,,München,https://traffective.com,@traffective,"Anstatt einzelne Werbemarktplätze manuell in unterschiedlichen Systemen zu betreiben, ermöglicht die Technologie das Management und die Erfolgsmessung über ein zentrales System.",,,Startup,Technology,
O,Ubermetrics,,Berlin,https://www.ubermetrics-technologies.com/,@ubermetrics,"uberMetrics Technologies is a technology provider for (social) media monitoring. The tool uberMetrics DELTA gathers data from public communication, extracts the relevant content for the client and makes it accessible in a SaaS-Tool for its analysis.",,Hightech-Gründerfonds,Startup,Technology,Venture Capital
O,Upspeak,,Landau a.d.Isar,https://www.upspeak.de/de,@Upspeakapp,Dein Mentor im Ohr. Bring dein Leben aufs nächste Level mit der #1 kostenlosen Audio-Mentoring App für persönliche und berufliche Weiterentwicklung,,"Medialab Bayern, Philipp Emanuel Wallinger",Startup,"Technology, Business Model",Venture Capital
O,Varia,,München,https://www.varia.media/,@variamediagroup,"Varia will die Filterblase zum platzen bringen — ganz einfach per Browser Extension. Zu jedem gelesenen Artikel aus digitalen Publikationen bietet Varia alternative Perspektiven und hilft Lesern so, sich ohne Mehraufwand umfassender zu informieren. Einseitige Informationen, die uns aufgrund von Algorithmen zugeteilt werden, fördern intolerantes und unkritisches Denken, glauben die Grüner. / At Varia, we are building a new kind of news platform with a simple but important vision: Making complementary information of high quality easily accessible and consumable for everyone.",,"Medialab Bayern, Georg Horn, Stefan Hensel",Startup,Technology,Venture Capital
O,Versicherungsmonitor,Frommes Versicherungsmonitor GmbH,Köln,https://versicherungsmonitor.de/,@VMonitor,Tägliche Nachrichten aus der Versicherungswirtschaft,,Premium-Newsletter,Startup,"Content, Funding, Business Model",
O,VICE Deutschland,VICE Media GmbH,Berlin,https://www.vice.com/de,@Vice_Germany,"VICE ist ein werbefinanziertes und ursprünglich kanadisches Lifestyle- und Jugendmagazin. Die mittlerweile in New York ansässige Online- und Print-Zeitschrift besitzt mehrere Ableger in verschiedenen Ländern. Herausgeber ist das Unternehmen Vice Media. Die deutsche Ausgabe erscheint seit August 2005, die österreichische und schweizerische Ausgabe seit 2007. Die Zeitschrift beschäftigt sich hauptsächlich mit zeitgenössischer Jugendkultur, dabei beinhaltet es auch kontroverse Themen wie Sex, Drogen und Gewalt sowie länderübergreifend wichtige Sozialprobleme oder politische Konflikte. ""VICE ist ein unendlich expandierendes Kontinuum für investigativen Journalismus, unbequeme Sozialstudien und preisgekrönte Dokumentationen."" (Selbstbeschreibung)",,"2013 gelang VICE ein Mediencoup, als es den ehemaligen Basketballspieler Dennis Rodman zu einem Treffen mit dem nordkoreanischen Machthaber Kim Jong-un in Pjöngjang begleitete. Im August 2014 zeigte VICE als erstes Nachrichtenmedium eine Reportage über den Islamischen Staat.",Startup,Content,
O,Webmag,,"München, Berlin",https://webmag.io/,@webmag_io,"Der einfache Weg zum digitalen Content Marketing. Mit Webmag erstellen Sie digitale Sales- und Marketing-Materialien ganz einfach selbst – responsiv, interaktiv, messbar. Sie brauchen keine Designer, IT-Ressourcen oder Agenturen. Nur Content.",,Medialab Bayern,Startup,Technology,Venture Capital
O,Webtrekk,,Berlin,https://www.webtrekk.com/,@webtrekk,"Webtrekk is a customer intelligence platform that allows you to connect, analyze and activate your user and marketing data across all devices",,,Startup,Technology,
