Name,Ort,Webseite,Twitter,Kurzbeschreibung,Experimentierfelder,Finanzierung
Jetzt,München,http://jetzt.de,@jetzt,"Was junge Menschen jetzt bewegt: Aktuelles mit Tiefe - aus Gesellschaft, Liebe und Sex, Studium und Job, Politik und Popkultur, Musik, TV und Kino.",Content,Misc. Capital
Jochen Spangenberg,"Berlin, Bonn","https://revealproject.eu, jospang.wordpress.com, http://blogs.dw.com/innovation/","@jospang
@RevealEU","About (Social Media) VERIFICATION. Focus: journalism & news. Project results living on in @InVID_EU, @WeVerify and @trulymedia. Contact: @jospang",Technology,Employed
Jochen Wegner,Berlin,https://about.me/jochen,@jochen,"Editor-in-chief of ZEIT ONLINE, Germany's most popular premium news site, and editorial board member of DIE ZEIT, Germany's most widely read weekly newspaper. Winner of the ""Digital Leader 2018"" award from the German Lead Awards, the ""Grimme Online Award"" for the democracy project ""Germany Talks,"" and the 2018 ""Scoop Award"" for digital journalism. Named German ""editor-in-chief of the year"" in 2016.","Content, Technology, Audience Relationship",Employed
Joel Kaczmarek,Berlin,"https://www.digitalkompakt.de
https://www.gruenderszene.de/",@Indivijoel,"Joel Kaczmarek ist Gründer und Chefredakteur des Onlinemagazins Digital Kompakt. In der Fachpublikation setzt sich Kaczmarek analytisch und tiefgründig mit der deutschen Digitalwirtschaft auseinander. Zuvor leitete er vier Jahre lang als Chefredakteur das Onlinemagazin Gründerszene und war Mitgründer des dahinter stehenden Vertical Media Verlags, der im Juni 2014 vom Axel Springer Verlag übernommen wurde.",Content,Employed
Johnny Häusler,Berlin,http://www.spreeblick.com/,@spreeblick,"Johnny Haeusler (* 21. August 1964 in Berlin als Jörg Haeusler) ist ein deutscher Musiker, Blogger, Mediendesigner, Autor und Radio-Journalist. Er ist Frontmann der Rockband Plan B sowie Mitbegründer und Veranstalter der re:publica, einer seit 2007 jährlich in Berlin stattfindenden Veranstaltung rund um das Web 2.0.",Content,"Grant, Misc. Capital"
Jornu,,https://jornu.com/,@jornuDE,"Wir sind ein Journalismusprojekt, das vom Media Lab Bayern finanziert wird. Wir bauen eine Plattform, auf der du Journalisten abonnieren kannst. Hier ist unser erster kleiner Pilotversuch, wie das laufen könnte. Das ist nur ein Mini-Test: Wir freuen uns über Feedback und Wünsche von euch, denn wir wollen dieses Projekt gemeinsam mit euch entwickeln!","Audience Relationship, Technology",Venture Capital
Julia Berger,Berlin,,"@j_brgr
@BusinessPunkMag","Julia Berger ist seit dem 01.01.2018 Leiterin Digital bei Business Punk und hat dort mit großem Erfolg die beiden Dossiers Female Leadership und Nachhaltigkeit eingeführt. Bereits seit August 2016 war sie zuvor in der Digital-Redaktion der G+J Wirtschaftsmedien in Berlin tätig. Bis Ende 2019 ist sie zudem Stipendiatin des Digital Journalism Fellowships der Hamburg Media School, dem ersten durch Facebook geförderten Stipendienprogramm in Deutschland, das sich an Journalist*innen wendet.",Content,Employed
Juliane Leopold,Hamburg,,@julianeleopold,"Leopold studierte Publizistik- und Kommunikationswissenschaft an der Freien Universität Berlin. Danach schrieb sie für die Neue Zürcher Zeitung, den Freitag und Die Zeit. Ihre inhaltlichen Schwerpunkte waren dabei die Themen Technologie und Gesellschaft. Im Jahr 2013 war Leopold Mitgründerin des feministischen Blogs kleinerdrei, dessen Redaktion sie bis Dezember 2018 gemeinsam mit Anne Wizorek leitete. 2014 war das Blog für den Grimme Online Award nominiert.[1][2] Von Oktober 2014 bis Januar 2016 war sie Chefredakteurin der deutschen Ausgabe von BuzzFeed.[3] Bei der Wahl der Journalisten des Jahres 2014 des Medium Magazins belegte sie den zweiten Platz in der Kategorie Newcomer.[4] Ab Juni 2016 arbeitete Leopold als Beraterin für tagesschau.de.[5] Im Juli 2018 übernahm sie dort von Christiane Krogmann die Redaktionsleitung.[6] Im Oktober 2019 wird sie als Chefredakteurin Digitales Teil der Chefredaktion von ARD-aktuell",Content,Employed
Julius Tröger,Berlin,https://juliustroeger.de,@juliustroeger,Head of Visual Journalism @zeitonline | Author @rowohlt | Former Head of Interactive @morgenpost,"Technology, Content",Employed
Kerngedanke,München,https://kerngedanke.com/,@krngdnk,"Bring more content to audiences everywhere in the most authentic way. Serve your existing customers better while winning new audiences. We help you with staying on top of things and focusing on what really matters: your time, your content and your audience.",Technology,Venture Capital
Kr3m,Karlsruhe,https://kr3m.com,@kr3mmedia,"kr3m ist im deutschsprachigen Raum der Marktführer für Playful Business. Wir beliefern fast alle Verlage und Medienhäuser in Deutschland und der Schweiz mit Casual Games, z. B. den Spiegel, den Stern, die ZEIT, BILD, die Cosmopolitan, das Handelsblatt, die Neue Züricher Zeitung u. v. m. Dabei nutzen wir die Strategien der Spiele-Industrie für crossmediale Kampagnen, Kundenbindung und Personalschulung.",Technology,Misc. Capital
Krautreporter,Berlin,https://krautreporter.de,@krautreporter,"Krautreporter ist ein deutsches Online-Magazin, das seit Oktober 2014 erscheint. Die Finanzierung der Plattform erfolgte durch Crowdfunding. Dadurch soll ein unabhängiger Journalismus ohne Werbung ermöglicht werden.","Content, Funding, Business Model, Audience Relationship",Crowd-Funding
Labiotech.eu,Berlin,https://labiotech.eu,@Labiotech_eu,"Labiotech.eu is the leading digital media covering the European Biotech industry. Over 150,000 monthly visitors use it to keep an eye on the business and innovations in biotechnology. Hope you'll enjoy reading our stories!","Content, Business Model",Misc. Capital
LaterPay,München,https://www.laterpay.net/,@laterpay,"Mehr Nutzer zahlen – wenn sie später zahlen können
 Verlage und Websites generieren mit LaterPay bis zu 2,5 mal so viel Umsatz, wenn sie Nutzern anbieten, für Artikel, Videos, Zeitpässe, Abos, werbefreies Lesen und Contributions später zu bezahlen. Anstatt Paywalls zu errichten, bei denen die Zahlung sofort fällig ist.","Technology, Business Model","Venture Capital, Misc. Capital"
Léa Steinacker,Düsseldorf,https://www.leasteinacker.com/,@leasteinacker,"Léa is the Chief Strategy Officer and a member of the founding team of ada, Germany's platform for digital education and future insights by the nation's leading business publisher, Handelsblatt Media Group. She oversees strategy, develops live experiences, and shapes content curation. Together with the founding publisher, Léa hosts a live-stream series on the implications of emerging technologies and workplace developments. In her previous role, Léa acted as the Chief Innovation Officer of WirtschaftsWoche, Germany's leading business magazine, and wrote a bi-weekly column about ""code capital"", a term she coined about the interplay of algorithms, markets, and democracy. 
 
Prior to joining Handelsblatt Media Group, Léa worked with social justice NGOs in Bosnia-Hercegovina, Rwanda, and the Democratic Republic of Congo. She was selected as a 2018 Forbes 30 Under 30 leader, one of Medium Magazine’s Top 30 Under 30 journalists, an Atlantik Brücke Young Leader, and a Leader of Tomorrow by the St. Gallen Symposium. She holds a Master of Public Policy from the Harvard Kennedy School of Government, a Bachelor in International Affairs from Princeton University, and the International Baccalaureate from the United World College of the Atlantic.",,Employed
LIMES,"Hamburg, Berlin","https://blogs.dw.com/innovation/project-limes-the-future-of-augmented-interactive-live-streaming/
https://contentflow.net/",,"With the arrival of high-end smart device cameras, sophisticated gimbals, 4G, and platforms like Twitch or Facebook Live, video live streaming has become immensely popular. Journalists have used the technology to cover breaking news right when and where they are breaking, do spontaneous interviews on a popular social media platform, or cover that really long, yet potentially important press conference both in full and on a budget. Unfortunately, journalistic live streams run the risk of becoming rather boring after a while. They might be exclusive, but they also lack dramaturgy, editing, extra features – which is why viewers tend to tune out. But it doesn’t have to be like that. Journalistic livestreams could be more compelling, and we’ve just started a new DNI project that is ready to tackle the challenge: LIMES, short for Livestreaming & Mixed Reality Management System.",Technology,Grant
Lina Timm,München,https://www.media-lab.de/,"@Luisante
@MediaLabBayern","Als Gründerin und Managing Director des Media Lab Bayern arbeitet Lina Timm daran, mehr Innovation in die Medienbranche zu bringen. Das Media Lab fördert Talente und Teams auf ihrem Weg zum Medien-Startup und hilft Medienhäusern in unterschiedlichen Programmen, eigene Innovationsprojekte zu starten. Lina Timm studierte Germanistik und Soziologie an der Uni Hamburg und wurde an der Deutschen Journalistenschule in München zur Redakteurin ausgebildet. Sie schrieb unter anderem für die Frankfurter Allgemeine Sonntagszeitung oder ZEIT, ihre Beiträge wurden auf ProSieben und ARTE ausgestrahlt. 2016 gründete sie die Slack Community www.digital-journalism.rocks, einen Ort mit über 1200 digitalen Journalisten, die ihre best practices und Expertise online austauschen.","Organizational Structure, Funding, Business Model, Content",Employed
Linius,Berlin,http://linius-storytelling.de/,,"Mit Linius können Sie schnell und einfach bildstarke Geschichten online veröffentlichen! Linius ist einfach schön. Wenn Sie Linius für Ihre Story einsetzen wollen, kontaktieren Sie uns jederzeit gerne.","Technology, Content",Misc. Capital
LinkLift,Berlin,http://www.linklift.de/,@Linklift_DE,Marktplatz für Online-Werbung,Technology,
Lokalpioniere,Bielefeld,https://www.lokalpioniere.de/,,"Lokalpioniere. Das ist der Systemgeber für Ihre City-App. Mithilfe unserer digitalen Infrastruktur bestehend aus App und Webseite bauen Sie sich lokal eine zentrale Marke als Smart City auf. Die Vorteile unseres System liegen klar in der Hand: Jeder Bürger findet alle lokalen Informationen auf seinem Smartphone in der Hosentasche. Lokalpioniere liefert Ihnen dazu ein digitales Geschäftsmodell, das sich auf dem Markt erfolgreich bewiesen hat. Durch unsere Unterstützung kann beim Start Ihrer City-App nichts mehr schief gehen. Worauf warten Sie noch? Informieren Sie sich umfangreich über die Vorteile und Möglichkeiten unseres Systems und starten Sie durch!","Audience Relationship, Business Model, Technology",
Lokalportal,Hamburg,https://lokalportal.de/,@Lokalportal_DE,"Lokalportal ist die digitale Plattform für das lokale Leben. Hier erfährst du auf einen Blick, was in deiner Nähe passiert.","Business Model, Audience Relationship","Misc. Capital, Venture Capital"
Lorenz Matzat,Berlin,https://datenjournalist.de/lorenz-matzat/,@lorz,"Lorenz Matzat is a journalist and entrepreneur in Berlin. In 2011 he founded Lokaler, a software development company for location-based-services. Matzat is the co-founder of AlgorithmWatch,a NGO to shed light on algorithmic decision making processes that have a social relevance. He was the 
 co-founder of the award winning data journalism agency OpenDataCity (he left 2013).","Technology, Content, Funding",Employed
Luminovo,München,https://luminovo.ai/,@luminovo,Lösen Sie Ihre Probleme mit Hilfe von Deep Learning. Wir beschleunigen Ihre repetitiven Arbeitsprozesse auf Basis von Bild und Text. Dabei vereinen wir die Stärken von menschlicher und künstlicher Intelligenz.,Technology,Venture Capital
Lutz Knappmann,Düsseldorf,https://www.wiwo.de,@LKnappmann,"Lutz Knappmann, Jahrgang 1977, ist seit Januar 2018 Chefredakteur von wiwo.de und Mitglied der Chefredaktion der WirtschaftsWoche. Zuvor verantwortete er als Leiter Editorial Innovation den Aufbau neuer Digitalangebote bei der Süddeutschen Zeitung in München und war dort von 2011 bis 2016 stellvertretender Chefredakteur von SZ.de. Aufgewachsen in Dortmund, Journalistik-Studium und Ausbildung an der Deutschen Journalistenschule in München. Stationen bei der Abendzeitung und Börse Online in München, anschließend in Hamburg Finanzredakteur bei manager-magazin.de, sowie Blattmacher und Medienredakteur bei der Financial Times Deutschland.",Content,Employed
Marco Maas,"Hamburg, Berlin",https://datenfreunde.com,@themaastrix,"Marco Maas, Datenjournalist, Gründer und Geschäftsführer von OpenDataCity / Datenfreunde GmbH, ist einer der ersten deutschen Datenjournalisten. Mit zwei Partnern gründete er 2009 die Datenjournalismus-Agentur OpenDataCity und realisierte in den vergangenen 7 Jahren über 100 datenjournalistische Projekte für Kunden wie Spiegel, ARD, ZDF, SZ, Greenpeace und andere. Viele der Projekte sind preisgekrönt, die Agentur hat mehrere Grimme-Preise, Lead-Awards u. v. a. gewonnen.",Technology,Misc. capital
Mark Heywinkel,Berlin,"https://markheywinkel.de
https://ze.tt/",@markheywinkel,Head of Development & stellv. Redaktionsleiter @zett,Content,Employed
Markus Beckedahl,Bonn,https://netzpolitik.org,"@netzpolitik, @republica, @newthinking","Markus Beckedahl ist Gründer und Chefredakteur von netzpolitik.org. Er ist Partner bei newthinking communications GmbH, Gründer der re:publica und Mitglied im Medienrat der Landesmedienanstalt Berlin-Brandenburg. In der Zeit vor netzpolitik.org war er mal bei den Grünen aktiv.",Content,Employed
Martin Hoffmann,Berlin,https://mrtnh.de,@martinhoffmann,"Online journalist. Product, innovation, strategy. Business Development @StroeerMedia und @tonline_news. Father of @ResiApp, @pushthepush, @convjournalism.","Technology, Audience Relationship",Employed
Mashtag,Saarbrücken,https://mashtag.com/,,"Das New-Media-Redaktionssystem Mashtag ist ein automatischer Content-Lieferant und intelligenter Redaktionsassistent. Mashtag kennt die Social-Media-Follower der Redaktion, deren Zielgruppe und die aktuellen Online-Trends. Mit diesen Informationen findet das Redaktionssystem automatisch Content, der perfekt zu den Nutzern des Mediums passt und ihm zu mehr Reichweite verhelfen kann. Das Team mit Miriam Hannah, Vlad Kräuter, Rolf Vogl und Martin Lindemann ist aus dem Saarland nach München gekommen.",Technology,Venture Capital
Media Lab Bayern,München,https://www.media-lab.de/,@medialabbayern,"Wir sind ein Team aus Innovationsexpert*innen, Medienmacher*innen und Eventmanager*innen und arbeiten jeden Tag daran, mehr Innovation in die Medienbranche zu bringen. Wir lieben es, Talente zu unterstützen und zusammenzubringen, starten neue Projekte lieber heute als morgen und finden zu (fast) jedem Problem eine Lösung. Wenn ihr eine Idee habt, Unterstützung braucht oder bei einem Kaffee über die Zukunft der Medien quatschen wollt: Kommt vorbei!","Business Model, Funding, Organizational Structure",Misc. Capital
Media Lift,Hamburg,https://www.nextmedia-hamburg.de/,@nextmediahh,"Heute Idee, morgen Innovation – der Content & Tech Inkubator
Wir fördern eure innovativen Geschäftsideen aus den Bereichen Content und Tech. Ob Studierende, Gründungswillige oder Angestellte großer Medien- und Digitalunternehmen, ob individuelle/r Ideengeber/in oder eingespieltes Team – wir heben eure Idee auf das nächste Level.","Business Model, Funding, Organizational Structure",Public Funding
Media Tech Hub,Potsdam,https://www.mth-potsdam.de/en/frontpage/,@mediatech_hub,"The digital revolution is in full swing: technologies are changing processes, ways of thinking and cultures. Media technologies are the driving force here. They visualise, network, automate and emotionalise. They thus create new realities and business models. The MediaTech Hub Potsdam bundles the local expertise of specialists and visionaries and brings digital change to life.","Business Model, Funding, Organizational Structure","Public Funding, Misc. Capital"
MedWatch,Hamburg / Karlsruhe,https://medwatch.de,@medwatch_de,"Das Team von MedWatch scannt das Netz nach gefährlichen und unseriösen Heilungsversprechen. Einen Schwerpunkt bilden Recherchen aus der Grauzone des Netzes, in der vermeintliche Heiler ihre Wunder anbieten.",Content,Misc. Capital
Merkurist,Mainz,https://merkurist.de,"@Merkurist_biz, @Merkurist_Mainz","Merkurist ist die Lösung für Lokalblogs und -Nachrichtenseiten, die ein cleveres digitales Netzwerk bilden.","Content, Audience Relationship","Venture Capital, Misc. Capital"
MessengerPeople,München,https://messengerpeople.com,@MessengerPeople,"MessengerPeople enables Marketing Automation, Customer Service and Chatbots via Instant Messenger like WhatsApp, Apple Business Chat and Facebook Messenger.","Technology, Audience Relationship","Venture Capital, Misc. Capital"
Miriam Schröder,Berlin,,@von_mirs,Leiterin Tagesspiegel Background Digitalisierung & KI,Content,Employed
Mirko Lorenz,Berlin,https://datawrapper.de,"@mirkolorenz
@Datawrapper","Co-CEO & founder @datawrapper &
 Innovation Manager at Deutsche Welle @dw_innovation",Technology,Employed
MIT KIDZ,Bochum,https://mit-kidz.de,"@mit_kidz
@tapulator",Das Online-Reisemagazin / Digitalguide für eine barrierefreie Familienfreizeit,Content,Grant
Moviepilot,Berlin,https://www.moviepilot.de/,@moviepilot,Film-Portal und -Ratgeber,Content,
Multicast Media,Potsdam,https://www.multicast-media.com/,,Award-winning speech to text audio processing.,Content,
My Country Talks,"Hamburg, Berlin",https://www.mycountrytalks.org,,"My Country Talks is an international platform for political dialogue.
Our goal is to set up one-on-one discussions between people with completely different viewpoints – thus establishing a new form of political debate. Together with our partners, we hope to initiate debates in many countries around the world.","Content, Audience Relationship, Organizational Structure",
Narando,Löhne,https://www.narando.com/,@narandoapp,Plattform zum Abspielen von digitalen Medien,Technology,
Nebenan.de,Berlin,https://nebenan.de,@nebenan_DE,"Das Netzwerk für echte Gemeinschaft. [...] Seit der Gründung von nebenan.de im Jahr 2015 ist nebenan.de kontinuierlich gewachsen, verzeichnet 2019 über 1,2 Mio. Nutzer und beschäftigt derzeit rund 70 Mitarbeiter. Die Nachbarschafsplattform nebenan.de wird von der Good Hood GmbH mit Sitz in Berlin betrieben. nebenan.de wurde 2015 gegründet, um der zunehmenden Anonymität in der Gesellschaft entgegenzuwirken und Nachbarn auf digitalem Weg zu mehr echter lokaler Gemeinschaft zu verhelfen.","Business Model, Funding, Audience Relationship","Public funding, Crowdfunding, Venture Capital, Grant"
NDR NextNewsLab,Hamburg,https://www.ndr.de/,"@ndr
@BjoernSta","Im Newsroom wurde mit dem NextNewsLab eine Innovationseinheit etabliert, die Dreh und Schnitt per Smartphone testet. / Die AG Innovation, die Vorschläge von Kolleginnen und Kollegen für neue Strukturen und Techniken im NDR prüft.",Technology,Public funding
Neeeu,Berlin,https://neeeu.io/,@neeeu_io,Neeeu is an independent design & innovation studio. We specialise in the creation of unique spatial experiences. Join us where digital & physical realities meet,Content,Misc. Capital
Netzwerk Medien-Trainer,Nüringen,https://netzwerk-medien-trainer.de,,,,
Neue Narrative,Berlin,https://neuenarrative.de/,@neuenarrative,"Neue Narrative ist das Magazin für Neues Arbeiten. Es ist geboren in den Herzen einiger Menschen von TheDive, die gemeinsam im Bereich neuer Formen der Wirtschaft arbeiten. In dem Magazin erzählen wir Geschichten aus einer neuen Arbeitswelt, die zum Weiterdenken, Anpacken und Nachmachen einladen. Das machen wir, weil unsere Sehnsucht nach einem guten Heute und einem besseren Morgen einen Platz braucht. Das Wir steht nicht umsonst in Wirtschaft. ",Content,Crowdfunding (zweite Ausgabe)
News-Stream,Sankt Augustin,"newsstreamproject.org, https://www.iais.fraunhofer.de/de/geschaeftsfelder/content-technologies-and-services/referenzprojekte/news-stream.html",@wearenewsstream,News-Stream: Echtzeitanalyse und Auswertung heterogener Nachrichtenströme mittels Big-Data-Technologien.,"Technology, Organizational Structure",Public funding
Newscase,Berlin,https://newscase.com,,News Case provides quality information related to the upcoming gadgets and also technology news. The website covers all the latest tech product reviews and the news about it. You can find information about everything that has happened in the tech fests commenced in any part of the world on this website. News Case provides its users with new updates on technology on a daily basis. It is a perfect place to read the reviews and features about the upcoming products and technologies. There are several guides put up on the website for various gadgets. ,Technology,
Next Media Accelerator,Hamburg,https://nma.vc,@nma_vc,"We are the premier hub for
media innovation in Europe","Business Model, Funding, Organizational Structure",
Niddal Salah-Eldin,Berlin,,@Nisalahe,"Niddal Salah-Eldin, Jahrgang 1985, ist Head of Social Media bei der WELTN24 in Berlin. Die gebürtige Sudanesin studierte Publizistik, Politikwissenschaft und Journalismus in Mainz und Washington, D.C. Praxiserfahrung sammelte sie unter anderem beim ZDF, RTL New York und CNN in Berlin und Washington, D.C. Nach dem Magister-Abschluss arbeitete sie in der Kommunikationsberatung und ging dabei unter anderem ihrer Leidenschaft für Social Media nach. Seit 2014 gehört sie zum Gründungsteam von WELT Social. 2015 wurde die gefragte Social-Media-Expertin und Speakerin vom ‚medium magazin‘ unter die Top 30 bis 30 des Journalismus gewählt.",Content,Employed
Noizz,Berlin,https://noizz.de,@noizzrs,"NOIZZ reports in a contemporary, personal and surprising way on everything that moves the urban and digitally networked target group: from fashion and lifestyle to street art and hip-hop to politics and society. NOIZZ addresses the audience where users are: on smartphones and social media, with texts, images and videos.","Content, Audience Relationship",Misc. Capital
Nora Nagel,Köln,,@realnoranagel,"Sie kam 2016 nach einer Etappe im Wirtschaftsressort der Frankfurter Allgemeinen Sonntagszeitung nach Köln-Ehrenfeld zur bildundtonfabrik und fand seitdem keinen guten Grund, diese wieder zu verlassen. Nach längerer Zeit als Redakteurin vom Neo Magazin Royale und Schulz & Böhmermann, leitet Nora Nagel seit 2017 die Online-Redaktion von ""docupy"", der neuen Doku-Marke von der bildundtonfabrik und dem WDR.",Content,Employed
Nuzzera,Berlin,https://www.nuzzera.de/,@nuzzera,"Nuzzera ist eine zentrale Nachrichtenplattform, die freien Journalisten die Möglichkeit bietet Artikel direkt und unabhängig zu veröffentlichen. Gleichzeitig aggregieren wir Inhalte von etablierten Nachrichtenhäusern und lokalen Zeitungen. Die Vielfalt, die daraus entsteht, personalisiert Nuzzera mit Hilfe von Machine Learning und bringt so die Artikel zum passenden Leser. Dabei streben wir eine Entwicklung in Kopperation mit Journalisten an, um unseren Algorithmus nicht auf reine Click-Bait-Optimierung, sondern auf ausgeglichenes Leseverhalten und Meinungsvielfalt zu trainieren.","Business Model, Audience Relationship",Venture Capital
Opinary,Berlin,https://opinary.com/,@opinary,Opinary is a Berlin-based startup that established a new way for users to share their opinion in online content. Our technology helps 84 million monthly users to share their view with a tap and understand opinion trends at a glance.,"Technology, Business Model",
Pageflow,Köln,https://pageflow.io,@pageflow_io,"Pageflow ist eine Open Source Software und Publishing Plattform für Multimedia Storytelling, die gemeinschaftlich mit dem WDR für den digitalen Journalismus entwickelt wurde. Das Tool ermöglicht die einfache Erstellung bildschirmfüllender Web-Reportagen. Texte, Fotos, Video- und Audiodateien können mit interaktiven Elementen, wie Infografiken, 360° Videos, Hotspots und variablen Storylines zu komplexen Erzählungen arrangiert werden.","Technology, Content",Misc. Capital
Patrick Stotz,Hamburg,https://patrickstotz.github.io,@PatrickStotz,"Data journalism, dataviz & maps @spiegelonline • Project gallery: https://patrickstotz.github.io/",Technology,Employed
Pay with a Tweet,"Hamburg, Berlin",https://www.paywithatweet.com,@paywithatweet,"Viralmarketing-Tool: Das Tool für effektives Empfehlungsmarketing PayWithATweet ist deine Social PayWall. Biete Zugriff auf deine Inhalte,  Angebote und digitalen Waren für den Preis eines Posts oder Tweets.","Technology, Business Model",
Personiq,München,"personiq.de
emvolution.me",@_personiq_,"personiq ist eine Plattform, auf der Nutzer ihre Daten individuell steuern und kontrollieren können. Mit Hilfe von personiq kann der User selbst entscheiden, ob und mit wem er seine persönlichen Informationen teilen möchte. Über ein Plugin sammelt die Lösung automatisch Daten des Nutzers — er selbst hat aber die volle Kontrolle und kann entscheiden, welchen Unternehmen er welche Daten freigibt. Denn Medienhäuser bekommen so Zugang zu einer Vielzahl von Nutzerdaten und können ihre Angebote dank dieser Daten speziell individualisieren — also zum Beispiel die Inhalte auf ihrer Webseite für jeden einzelnen User personalisieren und ihm nur die News anbieten, die ihn wirklich interessieren.",Technology,
Perspective Daily,Münster,"https://perspective-daily.de, https://newsinitiative.withgoogle.com/dnifund/dni-projects/The-Healthy-News-Diet-Assistant/perspective-daily.de",@PDmedien,"Perspective Daily ist ein Online-Magazin, das nach den Prinzipien des Konstruktiven Journalismus arbeitet. Pro Tag erscheint ein einzelner Artikel, insgesamt fünf pro Woche. Diese Artikel sollen neben den Fakten auch Lösungsmöglichkeiten aufzeigen und zur Diskussion anregen. Es gibt eine Kommentarfunktion mit klaren Regeln, die für die Konstruktivität der Beiträge sorgen soll. Perspective Daily finanziert sich ausschließlich über seine Mitgliedsbeiträge. Die ersten 12.000 Jahresmitgliedschaften wurden durch eine Crowdfunding-Kampagne gewonnen, inzwischen zählt Perspective Daily nach eigenen Angaben über 14.000 Mitglieder. Der erste Artikel erschien am 21. Juni 2016. Die Redaktion befindet sich in Münster. 2017 wurde Perspective Daily für den Grimme Online-Preis nominiert.",Content,Grant
Picter,Augsburg,https://www.picter.com,@picter_com,"Picter ist ein Access- und Asset-Management Tool für Fotografie und bildbasierte Medien. Es revolutioniert den Umgang mit Bildern und löst altbewährte FTP-Services wie Wetransfer und Dropbox ab. Picter schafft standardisierte Prozesse, eine einheitliche Infrastruktur zur Bild-Verwaltung und verbindet alle Marktteilnehmer des professionellen Fotografie-Marktes. Das Team mit Claudio Ricci, Simon Karlstetter, Leon Kirchlechner, Richard Stromer und Matthias Lohscheidt ist auch Team unseres Partner-Fellowships mit dem Red Bull Media House.","Technology, Content",Venture Capital
piqd,München,https://piqd.de,@piqd_de,"Deine Programmzeitung für das gute Netz: Kluge Köpfe filtern die besten Beiträge aus dem Netz. Entdecke handverlesene Artikel, Videos und Audios und teile deine eigenen Fundstücke mit uns.","Content, Business Model",
Plantura,München,https://www.plantura.garden/,@PlanturaGarden,"Plantura ist ein digitales Gartenmagazin, das mittels eines datengetriebenen Tech-Frameworks Trend-Themen identifiziert. Dieses Vorgehen resultiert in einer hohen und sehr spezifischen Reichweite innerhalb der Zielgruppe, welche durch sinnstiftende und mehrwertgenerierende Produktplatzierungen monetarisiert wird.","Content, Business Model",Venture Capital
